0.169189  29.408202  -0.176221  124.704050  0.003076  -64.006345  -89.821584

0.131836  44.309179  -0.165674  95.156980  0.002197  -49.410791  -89.793020

8.462989  37.172020  2.371289  109.248486  12.327100  -57.149122  -98.218653

17.818505  32.562158  7.292285  118.737156  26.463867  -65.133982  -106.187257

14.025586  46.988085  4.458692  90.069875  22.379589  -50.097218  -108.418359

-0.153809  39.870703  0.153809  110.020605  -0.105469  -59.640378  -90.115576

8.267871  34.242627  4.797510  122.547650  13.150634  -67.468363  -98.027490

6.398438  47.861717  3.175928  93.347751  10.760009  -51.760546  -99.326072

14.789356  42.543018  6.536426  104.724319  22.526807  -60.315823  -106.579248

0.964160  37.673438  -1.063916  123.147068  0.043945  -70.326565  -89.622512

0.760254  50.206641  -1.020410  93.846096  0.028125  -53.692821  -89.489794

8.620752  43.917187  2.104101  107.889695  11.373047  -62.085060  -97.171435

17.490673  40.207326  7.480811  117.310247  24.480615  -70.533103  -104.181592

13.847607  52.658788  4.637549  88.788866  20.576513  -53.903761  -106.802049
